谜面,谜底
谜面：半部春秋昭日月 （打二字《水浒传》人名）,谜底：秦明
谜面：春节一天作灯谜 （打一成语）,谜底：三人成虎?
谜面：少废话，快溜 （打一体育项目）,谜底：短道速滑
谜面：抬举你的老公 （打一体育项目）,谜底：高尔夫
谜面：春雨绵绵妻独宿 （打一成语）,谜底：天下无双
谜面：老泪流干 （打一字）,谜底：戾
谜面：雨后横山尘土净 （打一节气）,谜底：小雪
谜面：伯乐挥鞭 （打一成语）,谜底：骑马找马
谜面：开会之前先猜谜 （打一字）,谜底：狱
谜面：和氏璧 （打二字《红楼梦》人名）,谜底：宝玉
谜面：三人度日总俭省 （打一节日）,谜底：春节
谜面：雨下横山路泥泞 （打二字运动项目）,谜底：滑雪
谜面：干活适可而止 （打一节日名）,谜底：劳动节
谜面：一见孟德夫人乱 （打一成语）,谜底：大吉大利
谜面：日与月相连 （打一字）,谜底：明
谜面：大概二十出头 （打二字植物）,谜底：山药
谜面：杜十娘怒沉百宝箱 （打一成语）,谜底：一掷千金
谜面：独见明月在 （打三字旅游用语）,谜底：一日游
谜面：雨后归来见高堂 （打一节气）,谜底：小雪
谜面：真空之中 （打二字节日）,谜底：三八
谜面：放翁不管人间事 （打一成语）,谜底：游手好闲
谜面：白露沾我裳 （打一成语）,谜底：一衣带水
谜面：滴酒不漏 （打二字《红楼梦》人名）,谜底：惜春
谜面：基本相似 （打二字山西地名）,谜底：大同
谜面：风入枫林声声响 （打一字）,谜底：森
谜面：枝头早梅几朵开 （打一字）,谜底：森
谜面：秋后重逢在江西 （打一字）,谜底：淡
谜面：十二金钗，姣者三姐 （打四字常言）,谜底：尤为突出
谜面：赏心亭中观秋色 （打一字）,谜底：铝
谜面：梁山好汉排座次 （打一河流名）,谜底：长江
谜面：大模大样进典铺 （打一成语）,谜底：当之无愧
谜面：舅去了北边，娘去了东边 （打四字称谓）,谜底：剩男剩女
谜面：中国，好样的 （打三字电信名词）,谜底：神州行
谜面：仗赖朋友才致富 （打一成语）,谜底：不依不饶
谜面：围棋遇对手 （打一成语）,谜底：黑白不分
