谜面,谜底,提示
谜面：不要孩子气 （打一字）,谜底：氦,小贴士：“不要孩子”别解为“孩”字没了“子”，余下“亥”，与“气”组合，成“氦”。
谜面：姥姥的声音 （打三字流行词）,谜底：娘娘腔,小贴士：“姥姥”，即娘的娘，这里会意成“娘娘”。
谜面：一入江东处处春 （打一字）,谜底：琳,小贴士：“江”字的东部与“一”组合，可成“王”字；“春”与五行中的“木”相扣，“处处”即两个“木”；合成“琳”。
谜面：一场虚惊 （离合字）,谜底：心白怕,小贴士：谜底别解为“心里白白害怕了一场”。
谜面：一听可乐 （打一成语）,谜底：闻过则喜,小贴士：谜面应顿读作“一听，可乐”。
谜面：少帅被囚 （打三字元代人名）,谜底：关汉卿,小贴士：少帅，指张学良，字汉卿。
谜面：关前呈现新面貌 （打一蔬菜）,谜底：土豆,小贴士：“呈”字的新面貌与“关”字的前头“?R”组合，可成“土豆”二字。
谜面：冠军服上汗犹在 （打一成语）,谜底：一衣带水,小贴士：“一”别解为“第一、冠军”，“水”别解为“汗水”。
谜面：独在闽中话知了 （打一昆虫）,谜底：蝉,小贴士：“独”义同“单”，“闽”字中间为“虫”，合成“蝉”字。“知了”提示谜底为“蝉”。
谜面：老两口一同来 （打一字）,谜底：嗜,小贴士：“老”与两个“口”和“一”组合，可成“嗜”字。
谜面：袭人囊中羞涩 （打四字口语）,谜底：花钱不多,小贴士：“袭人”，《红楼梦》人名，姓“花”。
谜面：自幼即典范 （打二字新词）,谜底：嫩模,小贴士：“模”，别解为“模范”。
谜面：个个喜迎鼠年来 （打二字日用品）,谜底：筷子,小贴士：“喜”扣“快（乐）”，与“个个”合成“筷”字。生肖“鼠”扣地支“子”。
谜面：声声杜鹃迎鼠年 （打三字称谓）,谜底：叫花子,小贴士：“杜鹃”别解为“杜鹃花”，“鼠年”与地支“子”相扣。
谜面：兵临西湖小河沟 （打一字）,谜底：浜,小贴士：“湖”字的西部与“兵”组合，可成“浜”字。浜，字义为小河沟。
谜面：无心思虑 （打三字口语）,谜底：没意思,小贴士：谜底中的“思”别指“思考”。
谜面：残灯耳边更三声 （打一字）,谜底：耿,小贴士：“残灯”取“火”，与“耳”组合成“耿”字。“更”字如果读第三声，就与“耿”字的发音相同。
谜面：柴门闻犬吠 （打一字）,谜底：润,小贴士：“犬吠”的声音为“汪”，“汪”与“门”组合，成“润”字。
谜面：除夕梦见葬花人 （打一姓氏）,谜底：林,小贴士：“梦”除去“夕”余“林”，“葬花人”扣“林黛玉”，谜底以“林”代指。谜面两次扣合谜底。
谜面：塞上冬初无犬吠 （打一字）,谜底：客,小贴士：“塞上”取“宀”；“冬初”取“夂”；“无犬吠”别解为“吠”字没了“犬”，余下“口”；合成“客”字。
谜面：品上茶后莫言困 （打一字）,谜底：杏,小贴士：“品”字上半部分为“口”，“茶”字下半部分为“木”，可合成“杏”、“困”字。“莫言困”，排除了谜底是“困”字的可能。
谜面：愿与云长同年同月同日生 （打一成语）,谜底：休戚相关,小贴士：谜底中的“关”别指“关云长”。
谜面：难猜君王心上事 （打五字常言）,谜底：拿不定主意,小贴士：“主”，别指主上、君王。
谜面：花下无奈别小二 （打二字蔬菜）,谜底：大蒜,小贴士：“花下无”别解为“花”字下半部分没了，余下“艹”，与“奈”、“小二”组合，成“大蒜”字。
谜面：泪水一抹心恨消 （打一字）,谜底：眼,小贴士：“泪”字的“水”抹去，余下“目”；“恨”字的“心”消除，剩下“艮”；合成“眼”字。
谜面：没有危险的晚上 （打三字节日）,谜底：平安夜,小贴士：“没有危险”反扣“平安”。
谜面：白首又到西凉来 （打一节气）,谜底：冬至,小贴士：“白”字的首笔与“又”和“凉”字的西部“冫”组合，可成“冬”字；“来”义扣“至”。
谜面：子牙出世 （打二字植物）,谜底：生姜,小贴士：谜底中的“姜”别指姜子牙。
谜面：望诸君帮忙 （打一成语）,谜底：助人为乐,小贴士：望诸君，战国时期赵封君，名乐毅。谜底别解为“帮助的人是乐毅”。
谜面：说话迟钝 （打三字蔬菜）,谜底：白木耳,小贴士：“白”，字义为“说”，“迟钝”义扣“木”，“耳”作语气助词。
谜面：曹雪芹洒泪写红楼 （打一成语）,谜底：水落石出,小贴士：“泪”扣“水”；“石”代指“石头记”，《红楼梦》又名《石头记》。
